"Reference","Qty","Value","Exclude from Board","Footprint","Datasheet","Sim.Pins"
"C1","1","2n2","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"C2,C89,C100,C112,C119","5","10n","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"C3,C4,C85","3","10n","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~",""
"C5,C6,C7,C8,C10,C11,C13,C14,C16,C17,C18,C19,C20,C21,C23,C24,C26,C27,C28,C29,C30,C31,C34,C35,C38,C39,C40,C41,C42,C43,C45,C46","32","130n","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"C9","1","47u","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"C12,C22,C32,C33,C44,C48,C84,C103,C110,C121","10","470p","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"C15,C25,C36,C37,C47,C49","6","3n","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"C50,C51","2","6n8","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C87,C88,C90,C92,C93,C94,C95,C96,C97,C98,C99,C104,C105,C106,C107,C108,C109,C113,C117","51","100n","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"C86,C102,C111,C120","4","1n","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"C91,C114,C118","3","10u","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~",""
"C101","1","4u7","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"C115,C116","2","10u","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~",""
"D1,D2,D4","3","D","","Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","1=K 2=A"
"D3","1","LED","","LED_THT:LED_D3.0mm","~","1=K 2=A"
"H1,H2,H5,H6,H7,H8,H9,H10,H11,H13,H14,H15,H16","13","MountingHole","","MountingHole:MountingHole_3.2mm_M3_Pad","~",""
"H3,H4,H12","3","MountingHole_Pad","","MountingHole:MountingHole_3.2mm_M3_Pad","~",""
"J1","1","Bass_Out","","Connector_PinSocket_2.54mm_LongPads:PinSocket_1x02_P2.54mm_Vertical_LongPads","~",""
"J2","1","R_Phono_In","","Connector_PinHeader_2.54mm_LongPads:PinHeader_1x02_P2.54mm_Vertical_LongPads","~",""
"J3","1","L_Phono_In","","Connector_PinHeader_2.54mm_LongPads:PinHeader_1x02_P2.54mm_Vertical_LongPads","~",""
"J4","1","Phono/Line_Out","","Connector_PinSocket_2.54mm_LongPads:PinSocket_1x02_P2.54mm_Vertical_LongPads","~",""
"J5","1","Phono/Line_In","","Connector_PinHeader_2.54mm_LongPads:PinHeader_1x02_P2.54mm_Vertical_LongPads","~",""
"J6","1","Kick_Out","","Connector_PinSocket_2.54mm_LongPads:PinSocket_1x02_P2.54mm_Vertical_LongPads","~",""
"J7","1","R_Line_In","","Connector_PinHeader_2.54mm_LongPads:PinHeader_1x02_P2.54mm_Vertical_LongPads","~",""
"J8","1","L_Line_In","","Connector_PinHeader_2.54mm_LongPads:PinHeader_1x02_P2.54mm_Vertical_LongPads","~",""
"J9","1","Mic_In","","Connector_PinHeader_2.54mm_LongPads:PinHeader_1x03_P2.54mm_Vertical_LongPads","~",""
"J10","1","Mid_Out","","Connector_PinSocket_2.54mm_LongPads:PinSocket_1x02_P2.54mm_Vertical_LongPads","~",""
"J11","1","High_Out","","Connector_PinSocket_2.54mm_LongPads:PinSocket_1x02_P2.54mm_Vertical_LongPads","~",""
"J12,J14,J16,J23,J27","5","Mic_Effekt_Out","","Connector_PinSocket_2.54mm_LongPads:PinSocket_1x02_P2.54mm_Vertical_LongPads","~",""
