Chip_Select;Widerstand;adress;IC;;;
3;R_1;0;U15;;;
3;R_2;6;U15;;;
2;R_3;6;U14;;;
2;R_4;0;U14;;;
2;R_5;7;U14;;;
2;R_6;1;U14;;;
3;R_7;7;U15;;;
3;R_8;1;U15;;;
5;R_9;0;U17;;;
5;R_10;6;U17;;;
4;R_11;6;U16;;;
4;R_12;0;U16;;;
4;R_13;7;U16;;;
4;R_14;1;U16;;;
5;R_15;7;U17;;;
5;R_16;1;U17;;;
7;R_17;0;U19;;;
7;R_18;6;U19;;;
6;R_19;6;U18;;;
6;R_20;0;U18;;;
6;R_21;7;U18;;;
6;R_22;1;U18;;;
7;R_23;7;U19;;;
7;R_24;1;U19;;;
9;R_25;0;U21;;;
9;R_26;6;U21;;;
8;R_27;6;U20;;;
8;R_28;0;U20;;;
8;R_29;7;U20;;;
8;R_30;1;U20;;;
9;R_31;7;U21;;;
9;R_32;1;U21;;;
