Wert;R_29;R_30;R_31;R_32;Wert;;;;
0;9670,00;93,00;9810,00;103,00;255;;;;
1;9632,59;130,55;9772,07;140,95;254;;;R29_0=;9,67E+03
2;9595,18;168,10;9734,13;178,90;253;;;R29_255=;130,00
3;9557,76;205,65;9696,20;216,85;252;;;;
4;9520,35;243,20;9658,27;254,80;251;;;R30_0=;9,30E+01
5;9482,94;280,75;9620,33;292,75;250;;;R30_255=;9668,00
6;9445,53;318,29;9582,40;330,69;249;;;;
7;9408,12;355,84;9544,47;368,64;248;;;R31_0=;9810,00
8;9370,71;393,39;9506,53;406,59;247;;;R31_255=;1,37E+02
9;9333,29;430,94;9468,60;444,54;246;;;;
10;9295,88;468,49;9430,67;482,49;245;;;R32_0=;103,00
11;9258,47;506,04;9392,73;520,44;244;;;R32_255=;9780,00
12;9221,06;543,59;9354,80;558,39;243;;;;
13;9183,65;581,14;9316,87;596,34;242;;;;
14;9146,24;618,69;9278,93;634,29;241;;;;
15;9108,82;656,24;9241,00;672,24;240;;;;
16;9071,41;693,78;9203,07;710,18;239;;;;
17;9034,00;731,33;9165,13;748,13;238;;;;
18;8996,59;768,88;9127,20;786,08;237;;;;
19;8959,18;806,43;9089,27;824,03;236;;;;
20;8921,76;843,98;9051,33;861,98;235;;;;
21;8884,35;881,53;9013,40;899,93;234;;;;
22;8846,94;919,08;8975,47;937,88;233;;;;
23;8809,53;956,63;8937,53;975,83;232;;;;
24;8772,12;994,18;8899,60;1013,78;231;;;;
25;8734,71;1031,73;8861,67;1051,73;230;;;;
26;8697,29;1069,27;8823,73;1089,67;229;;;;
27;8659,88;1106,82;8785,80;1127,62;228;;;;
28;8622,47;1144,37;8747,87;1165,57;227;;;;
29;8585,06;1181,92;8709,93;1203,52;226;;;;
30;8547,65;1219,47;8672,00;1241,47;225;;;;
31;8510,24;1257,02;8634,07;1279,42;224;;;;
32;8472,82;1294,57;8596,13;1317,37;223;;;;
33;8435,41;1332,12;8558,20;1355,32;222;;;;
34;8398,00;1369,67;8520,27;1393,27;221;;;;
35;8360,59;1407,22;8482,33;1431,22;220;;;;
36;8323,18;1444,76;8444,40;1469,16;219;;;;
37;8285,76;1482,31;8406,47;1507,11;218;;;;
38;8248,35;1519,86;8368,53;1545,06;217;;;;
39;8210,94;1557,41;8330,60;1583,01;216;;;;
40;8173,53;1594,96;8292,67;1620,96;215;;;;
41;8136,12;1632,51;8254,73;1658,91;214;;;;
42;8098,71;1670,06;8216,80;1696,86;213;;;;
43;8061,29;1707,61;8178,87;1734,81;212;;;;
44;8023,88;1745,16;8140,93;1772,76;211;;;;
45;7986,47;1782,71;8103,00;1810,71;210;;;;
46;7949,06;1820,25;8065,07;1848,65;209;;;;
47;7911,65;1857,80;8027,13;1886,60;208;;;;
48;7874,24;1895,35;7989,20;1924,55;207;;;;
49;7836,82;1932,90;7951,27;1962,50;206;;;;
50;7799,41;1970,45;7913,33;2000,45;205;;;;
51;7762,00;2008,00;7875,40;2038,40;204;;;;
52;7724,59;2045,55;7837,47;2076,35;203;;;;
53;7687,18;2083,10;7799,53;2114,30;202;;;;
54;7649,76;2120,65;7761,60;2152,25;201;;;;
55;7612,35;2158,20;7723,67;2190,20;200;;;;
56;7574,94;2195,75;7685,73;2228,15;199;;;;
57;7537,53;2233,29;7647,80;2266,09;198;;;;
58;7500,12;2270,84;7609,87;2304,04;197;;;;
59;7462,71;2308,39;7571,93;2341,99;196;;;;
60;7425,29;2345,94;7534,00;2379,94;195;;;;
61;7387,88;2383,49;7496,07;2417,89;194;;;;
62;7350,47;2421,04;7458,13;2455,84;193;;;;
63;7313,06;2458,59;7420,20;2493,79;192;;;;
64;7275,65;2496,14;7382,27;2531,74;191;;;;
65;7238,24;2533,69;7344,33;2569,69;190;;;;
66;7200,82;2571,24;7306,40;2607,64;189;;;;
67;7163,41;2608,78;7268,47;2645,58;188;;;;
68;7126,00;2646,33;7230,53;2683,53;187;;;;
69;7088,59;2683,88;7192,60;2721,48;186;;;;
70;7051,18;2721,43;7154,67;2759,43;185;;;;
71;7013,76;2758,98;7116,73;2797,38;184;;;;
72;6976,35;2796,53;7078,80;2835,33;183;;;;
73;6938,94;2834,08;7040,87;2873,28;182;;;;
